KỊCH BẢN KIỂM THỬ,,,,,,,,
,,,,,,,,
Tên màn hình/Tên chức năng,WEB QL Câu lạc bộ sinh viên,,,,,,,
Số trường hợp kiểm thử đạt (P),48,,,,,,,
Số trường hợp kiểm thử không đạt (F),3,,,,,,,
Số trường hợp kiểm thử đang xem xét (PE),2,,,,,,,
Số trường hợp kiểm thử chưa thực hiện,0,,,,,,,
Tổng số trường hợp kiểm thử,53,,,,,,,
,,,,,,,,
Mục đích kiểm thử,Các bước thực hiện,Kết quả mong muốn,Kết quả hiện tại,Mã lỗi,Ghi chú,Trạng thái,Người fix,Độ ưu tiên
Chức năng : Đăng nhập/Đăng ký,,,,,,,,
Đăng nhập thành công với tài khoản Admin,"1. Truy cập trang đăng nhập
2. Nhập email: admin@example.com
3. Nhập password: admin123
4. Click nút ""Đăng nhập""","Hiển thị thông báo thành công, chuyển đến trang Admin Dashboard","Pass",,Đã kiểm tra,Đã hoàn thành,,Cao
Đăng nhập với email sai,"1. Truy cập trang đăng nhập
2. Nhập email: wrong@example.com
3. Nhập password: password
4. Click nút ""Đăng nhập""","Hiển thị thông báo lỗi ""Email hoặc mật khẩu không đúng""","Pass",,Validate dữ liệu,Đã hoàn thành,,Cao
Đăng nhập với mật khẩu sai,"1. Truy cập trang đăng nhập
2. Nhập email: admin@example.com
3. Nhập password: wrongpass
4. Click nút ""Đăng nhập""","Hiển thị thông báo lỗi ""Email hoặc mật khẩu không đúng""","Pass",,Validate dữ liệu,Đã hoàn thành,,Cao
Đăng nhập với trường rỗng,"1. Truy cập trang đăng nhập
2. Để trống email và password
3. Click nút ""Đăng nhập""","Hiển thị thông báo lỗi validation ""Email và mật khẩu là bắt buộc""","Pass",,Validate dữ liệu,Đã hoàn thành,,Cao
Đăng ký thành công,"1. Truy cập trang đăng ký
2. Nhập đầy đủ thông tin: Tên, Email, Mã sinh viên, Password
3. Click nút ""Đăng ký""","Hiển thị thông báo thành công, tạo tài khoản và chuyển đến trang đăng nhập","Pass",,Đã kiểm tra,Đã hoàn thành,,Cao
Đăng ký với email đã tồn tại,"1. Truy cập trang đăng ký
2. Nhập email đã tồn tại trong hệ thống
3. Nhập các thông tin khác
4. Click nút ""Đăng ký""","Hiển thị thông báo lỗi ""Email đã được sử dụng""","Pass",,Validate dữ liệu,Đã hoàn thành,,Cao
Đăng ký với mã sinh viên đã tồn tại,"1. Truy cập trang đăng ký
2. Nhập mã sinh viên đã tồn tại
3. Nhập các thông tin khác
4. Click nút ""Đăng ký""","Hiển thị thông báo lỗi ""Mã sinh viên đã được sử dụng""","Pass",,Validate dữ liệu,Đã hoàn thành,,Cao
Đăng ký với mật khẩu quá ngắn,"1. Truy cập trang đăng ký
2. Nhập mật khẩu: 123
3. Click nút ""Đăng ký""","Hiển thị thông báo lỗi ""Mật khẩu tối thiểu 6 ký tự""","Pass",,Validate dữ liệu,Đã hoàn thành,,Cao
Chức năng : Quản lý người dùng (Admin),,,,,,,,
Xem danh sách người dùng,"1. Admin đăng nhập
2. Truy cập menu ""Quản lý người dùng""
3. Xem danh sách người dùng","Hiển thị danh sách người dùng với phân trang, đầy đủ thông tin","Pass",,Đã kiểm tra,Đã hoàn thành,,Cao
Tìm kiếm người dùng theo tên,"1. Admin đăng nhập
2. Truy cập trang quản lý người dùng
3. Nhập tên vào ô tìm kiếm
4. Click nút tìm kiếm","Hiển thị kết quả tìm kiếm chính xác theo tên","Pass",,Đã kiểm tra,Đã hoàn thành,,Trung bình
Tạo người dùng mới thành công,"1. Admin đăng nhập
2. Click nút ""Tạo người dùng mới""
3. Nhập đầy đủ thông tin hợp lệ
4. Click nút ""Lưu""","Hiển thị thông báo ""Tạo người dùng thành công"", người dùng xuất hiện trong danh sách","Pass",,Đã kiểm tra,Đã hoàn thành,,Cao
